date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:58:05	112/112	---MCZ	200	added ('OK')	text/plain	etag:%2272-1717998257;gz%22	https://citwabbnk.online/robots.txt		(from )
14:58:05	99901/99901	---MCZ	200	added ('OK')	text/html	etag:%2266-1717957057;gz%22	https://citwabbnk.online/01-2/	C:/My%20Web%20Sites/citi/citwabbnk.online/01-2/index.html	(from )
14:58:05	43139/43139	---M-Z	200	added ('OK')	text/css	etag:%22a883-6665a397-2d8c183aa6b485a7;gz%22	https://citwabbnk.online/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.7.0	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-content/themes/astra/assets/css/minified/main.min1849.css	(from https://citwabbnk.online/01-2/)
14:58:06	118945/118945	---M-Z	200	added ('OK')	text/css	etag:%221d0a1-6665a39a-525def2f2a8d23e4;gz%22	https://citwabbnk.online/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.21.8	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-content/plugins/elementor/assets/css/frontend-lite.min3cad.css	(from https://citwabbnk.online/01-2/)
14:58:06	133929/133929	---MC-	200	added ('OK')	image/jpeg	etag:W/%225e26ffee-20b29%22	https://websitedemos.net/yoga-instructor-02/wp-content/uploads/sites/286/2019/12/footer-img-05.jpg	C:/My%20Web%20Sites/citi/websitedemos.net/yoga-instructor-02/wp-content/uploads/sites/286/2019/12/footer-img-05.jpg	(from https://citwabbnk.online/01-2/)
14:58:06	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-6665a39a-12aec942d0d12936;gz%22	https://citwabbnk.online/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://citwabbnk.online/01-2/)
14:58:06	1273/1273	---M-Z	200	added ('OK')	text/css	etag:%224f9-6665a423-df318f8683de6ed;gz%22	https://citwabbnk.online/wp-content/uploads/elementor/css/post-726.css?ver=1717937187	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-content/uploads/elementor/css/post-726ffa6.css	(from https://citwabbnk.online/01-2/)
14:58:07	11338/11338	---M-Z	200	added ('OK')	text/css	etag:%222c4a-6665ec31-c22875846e545bb1;gz%22	https://citwabbnk.online/wp-content/plugins/pro-elements/assets/css/frontend-lite.min.css?ver=3.15.1	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-content/plugins/pro-elements/assets/css/frontend-lite.min5829.css	(from https://citwabbnk.online/01-2/)
14:58:07	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%22e7d0-6665a39a-dbe3f08e463370c2;gz%22	https://citwabbnk.online/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.21.8	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min3cad.css	(from https://citwabbnk.online/01-2/)
14:58:07	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-6665a39a-2425b92983c5c326;gz%22	https://citwabbnk.online/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.21.8	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min3cad.css	(from https://citwabbnk.online/01-2/)
14:58:07	4727/4727	---M-Z	200	added ('OK')	text/css	etag:%221277-6665f1c1-cfa7057faa097140;gz%22	https://citwabbnk.online/wp-content/uploads/elementor/css/post-1085.css?ver=1717957057	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-content/uploads/elementor/css/post-1085dfe1.css	(from https://citwabbnk.online/01-2/)
14:58:08	15073/15073	---M-Z	200	added ('OK')	application/x-javascript	etag:%223ae1-6665a39a-acfc9066250652a4;gz%22	https://citwabbnk.online/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.21.8	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min3cad.js	(from https://citwabbnk.online/01-2/)
14:58:08	10966/10966	---M--	200	added ('OK')	image/png	etag:%222ad6-6665ec58-76ab4b93176c7c40;;;%22	https://citwabbnk.online/wp-content/uploads/2024/06/Citibank-Logo-500x281-1.png	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-content/uploads/2024/06/Citibank-Logo-500x281-1.png	(from https://citwabbnk.online/01-2/)
14:58:08	22722/22722	---M-Z	200	added ('OK')	application/x-javascript	etag:%2258c2-6665a397-4064429d76cefaf1;gz%22	https://citwabbnk.online/wp-content/themes/astra/assets/js/minified/frontend.min.js?ver=4.7.0	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-content/themes/astra/assets/js/minified/frontend.min1849.js	(from https://citwabbnk.online/01-2/)
14:58:08	8171/8171	---M-Z	200	added ('OK')	application/x-javascript	etag:%221feb-6665a1d9-a947bc651dced768;gz%22	https://citwabbnk.online/wp-includes/js/dist/vendor/wp-polyfill-inert.min.js?ver=3.1.2	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-includes/js/dist/vendor/wp-polyfill-inert.min0226.js	(from https://citwabbnk.online/01-2/)
14:58:08	6625/6625	---M-Z	200	added ('OK')	application/x-javascript	etag:%2219e1-6665a1d9-ea269ee55cc8ef15;gz%22	https://citwabbnk.online/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.14.0	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-includes/js/dist/vendor/regenerator-runtime.min6c85.js	(from https://citwabbnk.online/01-2/)
14:58:09	38590/38590	---M-Z	200	added ('OK')	application/x-javascript	etag:%2296be-6665a1d9-bef805fe98e196dc;gz%22	https://citwabbnk.online/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://citwabbnk.online/01-2/)
14:58:09	457/457	---M-Z	200	added ('OK')	application/x-javascript	etag:%221c9-6665a1d9-6028971943bccdce;gz%22	https://citwabbnk.online/wp-includes/js/dist/dom-ready.min.js?ver=f77871ff7694fffea381	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-includes/js/dist/dom-ready.min5346.js	(from https://citwabbnk.online/01-2/)
14:58:09	6581/6581	---M-Z	200	added ('OK')	application/x-javascript	etag:%2219b5-6665a273-42b1e668c7829739;gz%22	https://citwabbnk.online/wp-content/plugins/astra-sites/inc/lib/onboarding/assets/dist/template-preview/main.js?ver=06758d4d807d9d22c6ea	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-content/plugins/astra-sites/inc/lib/onboarding/assets/dist/template-preview/maina11c.js	(from https://citwabbnk.online/01-2/)
14:58:09	5666/5666	---M-Z	200	added ('OK')	application/x-javascript	etag:%221622-6665ec31-3dd5f7827d3afc8f;gz%22	https://citwabbnk.online/wp-content/plugins/pro-elements/assets/js/webpack-pro.runtime.min.js?ver=3.15.1	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-content/plugins/pro-elements/assets/js/webpack-pro.runtime.min5829.js	(from https://citwabbnk.online/01-2/)
14:58:10	4997/4997	---M-Z	200	added ('OK')	application/x-javascript	etag:%221385-6665a39a-74582e65d5f2373f;gz%22	https://citwabbnk.online/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.21.8	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-content/plugins/elementor/assets/js/webpack.runtime.min3cad.js	(from https://citwabbnk.online/01-2/)
14:58:10	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215601-6665a1d9-2458ed3aafd2596c;gz%22	https://citwabbnk.online/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-includes/js/jquery/jquery.minf43b.js	(from https://citwabbnk.online/01-2/)
14:58:10	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:%223509-6665a1d9-202d83c35ecb289f;gz%22	https://citwabbnk.online/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://citwabbnk.online/01-2/)
14:58:10	63275/63275	---M-Z	200	added ('OK')	application/x-javascript	etag:%22f72b-6665a39a-66949b2a60608f39;gz%22	https://citwabbnk.online/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.21.8	C:/My%20Web%20Sites/citi/citwabbnk.online/wp-content/plugins/elementor/assets/js/frontend-modules.min3cad.js	(from https://citwabbnk.online/01-2/)
